,survey_date,province,flavour_vanilla,flavour_strawberry,flavour_sesame,flavour_chocolate,flavour_pistachio,flavour_cookiesncream,flavour_hazelnut,flavour_greentea
66,28/06/2016,Quebec,1,1,1,0,1,1,1,1
67,03/07/2017,Northwest Territories,1,1,0,0,0,1,1,0
68,26/08/2015,Quebec,1,0,0,0,0,1,0,0
69,11/12/2015,Quebec,1,0,0,0,0,1,1,1
70,26/01/2017,Quebec,1,1,1,0,0,0,1,1
71,14/01/2015,Quebec,1,1,1,0,0,0,1,1
72,18/03/2015,Saskatchewan,1,0,1,0,1,1,1,1
73,24/11/2016,Quebec,1,1,1,0,0,1,1,1
74,26/10/2015,British Columbia,1,1,0,0,1,1,0,0
75,11/12/2015,British Columbia,1,1,0,0,1,0,1,1
76,29/09/2017,Quebec,1,1,1,0,0,1,1,1
77,27/09/2013,Quebec,1,0,1,0,1,1,0,0
78,29/06/2016,Quebec,1,1,0,0,1,0,1,1
79,01/04/2016,British Columbia,1,1,1,0,0,0,1,1
80,06/06/2014,Quebec,1,1,0,0,0,1,1,0
81,04/09/2015,Quebec,1,1,1,0,1,1,1,1
82,14/09/2015,Ontario,1,1,0,0,1,1,1,1
83,16/01/2015,British Columbia,1,0,1,0,1,0,1,1
84,24/11/2016,Saskatchewan,1,1,1,0,1,1,1,1
85,23/06/2016,Ontario,0,1,1,0,1,1,1,1
86,07/04/2015,Quebec,1,1,1,0,0,1,1,1
87,05/02/2016,Ontario,1,1,1,0,0,0,1,1
88,27/10/2015,Quebec,1,1,1,0,1,1,1,1
89,23/09/2015,Quebec,1,1,1,0,0,0,0,1
90,22/09/2016,Ontario,0,1,1,0,1,1,0,1
91,29/03/2016,British Columbia,1,1,1,0,0,0,0,1
92,11/06/2014,Northwest Territories,1,0,0,0,1,1,0,0
93,01/05/2018,Quebec,1,1,1,0,0,0,0,1
94,22/10/2018,Ontario,1,0,1,0,0,0,0,1
95,08/01/2018,Northwest Territories,1,1,1,0,0,1,0,1
96,04/10/2016,Ontario,1,1,1,0,0,0,0,1
97,06/08/2015,British Columbia,1,1,1,0,1,1,1,1
98,24/01/2017,Quebec,1,1,1,0,0,1,1,1
99,22/12/2015,Ontario,1,0,1,0,1,1,1,1
100,18/12/2017,Quebec,1,1,1,0,0,0,1,1
101,25/05/2015,Quebec,1,1,0,0,1,0,0,1
102,04/03/2016,Ontario,1,1,0,0,1,0,1,1
103,16/09/2016,Quebec,1,1,1,0,1,0,1,1
104,31/03/2015,Ontario,1,0,1,0,1,0,0,0
105,18/07/2014,Northwest Territories,1,0,0,0,1,1,0,0
106,19/02/2018,Quebec,1,1,1,0,1,0,1,1
107,11/08/2016,Ontario,1,1,1,0,0,0,1,1
108,23/11/2015,Saskatchewan,1,1,1,0,0,0,1,1
109,18/04/2016,British Columbia,1,1,1,0,0,1,1,1
110,23/02/2017,British Columbia,1,0,1,0,0,0,1,0
111,18/03/2015,Ontario,1,1,1,0,0,1,0,1
112,26/04/2017,Ontario,1,0,1,0,1,0,0,1
113,17/08/2016,British Columbia,1,1,0,0,1,1,0,1
114,13/07/2016,Quebec,0,1,0,0,1,1,1,1
115,29/09/2017,Ontario,1,1,0,0,1,1,1,1
116,07/01/2015,Northwest Territories,1,0,1,0,1,1,0,0
117,01/06/2016,Ontario,1,0,1,0,1,1,1,1
118,23/10/2015,Quebec,1,0,1,0,0,1,1,1
119,13/11/2018,Quebec,1,0,1,0,1,1,1,1
120,08/01/2015,Northwest Territories,1,0,0,0,1,1,0,0
121,25/09/2017,Northwest Territories,1,0,1,0,0,0,1,0
122,02/03/2015,British Columbia,1,1,1,0,0,1,0,1
123,31/03/2015,Northwest Territories,1,0,1,0,1,1,0,0
124,30/07/2015,Quebec,1,0,1,0,1,0,0,1
125,28/09/2015,Ontario,1,0,0,0,1,1,1,1
126,11/06/2015,Northwest Territories,1,0,0,0,1,1,0,0
127,26/08/2015,Quebec,1,1,1,0,0,1,1,1
128,09/10/2015,British Columbia,1,1,1,0,0,0,1,1
129,25/09/2015,Ontario,1,1,1,0,0,1,1,1
130,03/06/2016,Ontario,0,0,1,0,0,1,0,1
131,03/06/2016,Ontario,0,0,1,0,0,1,0,1
132,23/09/2015,Quebec,1,1,1,0,0,0,1,0
133,13/04/2017,Northwest Territories,1,0,1,0,0,0,1,1
134,04/10/2016,Quebec,1,0,1,0,1,1,1,1
135,14/01/2019,British Columbia,1,1,1,0,1,1,1,1
136,24/08/2018,Quebec,0,0,1,0,1,0,1,1
137,28/08/2015,British Columbia,0,1,1,0,0,1,1,1
138,28/03/2017,Ontario,0,1,0,0,1,1,0,0
139,14/12/2015,Northwest Territories,1,0,1,0,0,0,1,1
140,18/06/2018,Quebec,1,1,1,0,0,0,1,1
141,19/01/2018,Ontario,1,0,1,0,0,0,1,1
142,23/08/2016,Ontario,1,1,0,0,1,1,1,1
143,29/11/2017,Ontario,1,1,0,0,0,1,1,1
144,15/02/2018,Northwest Territories,1,1,1,0,0,1,0,0
145,05/06/2017,Quebec,1,1,0,0,0,1,1,0
146,17/10/2016,Ontario,1,0,1,0,0,0,0,1
147,07/06/2016,Northwest Territories,0,0,1,0,0,1,0,1
148,28/09/2017,Ontario,1,1,1,0,0,0,1,1
149,26/09/2016,Quebec,1,0,0,0,0,1,1,0
150,18/05/2016,Ontario,1,1,1,0,1,1,1,1
151,12/01/2018,Quebec,0,0,1,0,1,1,1,1
152,31/10/2017,Ontario,1,1,1,0,0,1,1,1
153,22/12/2016,Quebec,1,0,1,0,1,0,0,1
154,29/08/2018,Quebec,1,1,1,0,1,0,1,1
155,24/08/2016,Ontario,1,1,1,0,1,1,1,1
156,19/04/2018,Quebec,1,0,1,0,0,0,1,1
157,24/02/2017,Quebec,1,1,1,0,0,1,0,0
158,07/11/2016,Quebec,1,1,1,0,0,0,0,1
159,27/03/2017,Quebec,0,0,1,0,1,1,1,1
160,12/06/2017,Ontario,1,1,1,0,1,0,1,1
161,26/02/2019,Quebec,1,0,1,0,0,0,1,1
162,24/01/2019,British Columbia,1,1,1,0,0,0,0,1
163,03/02/2017,Northwest Territories,1,1,1,0,0,1,1,1
164,16/02/2017,Saskatchewan,0,1,1,0,1,0,1,1
165,23/01/2017,Quebec,1,0,1,0,0,1,0,1
166,14/03/2017,British Columbia,1,1,1,0,0,1,1,0
167,19/05/2017,Ontario,1,0,0,0,0,1,0,1
168,09/05/2017,Ontario,1,1,1,0,1,0,1,1
169,05/06/2017,British Columbia,1,0,0,0,0,1,0,1
170,10/05/2017,Ontario,1,0,0,0,1,1,1,1
171,27/11/2017,Northwest Territories,1,1,1,0,0,0,1,1
172,25/07/2017,British Columbia,1,1,1,0,1,1,1,1
173,16/08/2017,Ontario,0,1,1,0,1,1,0,1
174,28/11/2017,Quebec,1,1,1,0,1,0,0,1
175,01/06/2018,Quebec,1,1,1,0,1,1,1,1
176,05/09/2018,British Columbia,1,0,0,0,1,1,1,1
177,28/01/2019,Ontario,0,1,1,0,1,0,1,1
178,09/03/2018,British Columbia,1,0,0,0,0,1,0,0
179,14/05/2018,British Columbia,0,1,1,0,0,1,1,1
180,28/05/2018,Ontario,1,1,0,0,1,1,1,1
181,24/07/2019,Quebec,1,1,1,0,1,0,1,1
182,20/06/2018,Quebec,1,0,1,0,0,1,1,1
183,19/07/2018,British Columbia,1,1,1,0,0,0,1,1
184,31/07/2018,Quebec,1,1,0,0,0,1,1,1
185,12/07/2018,Ontario,1,1,1,0,1,0,1,0
186,29/10/2018,British Columbia,0,1,1,0,0,1,1,1
187,12/09/2018,British Columbia,1,1,1,0,1,1,1,0
188,30/01/2019,Ontario,0,1,1,0,1,0,1,1
189,15/05/2019,Quebec,1,1,1,0,0,1,1,1
190,13/03/2019,British Columbia,1,1,1,0,1,0,0,1
