,obs_number,y,x1,x2,x3,x4,x5,x6,x7,x8
42,42,39.09689447,3.986917401,4.430345302,-6.355220664,0,6.596169021,8.60010106,18.74957692,0
43,43,29.04343311,32.09339465,-8.290393478,-10.19416981,0,6.489533838,-4.645482592,21.05114205,0
44,44,39.76156683,38.05472774,9.895419502,2.912302885,0,24.83451997,-0.792393421,22.40273171,1
45,45,60.18254019,0.4172054,-5.551617355,-4.072566966,0,18.6574448,9.096223464,40.59418554,0
46,46,40.74165093,4.618640337,-2.637912985,-2.484436976,0,11.35795142,6.222781066,15.41695794,0
47,47,58.81914167,41.88926602,-2.306935219,-1.690637412,0,9.538531629,4.193484811,32.15851104,1
48,48,59.08467154,41.88503427,3.075467795,-6.15885822,0,7.750064827,8.756076206,29.48496321,1
49,49,45.88117309,4.190376797,9.012333201,-2.830583966,0,13.40819647,12.41865692,11.83183046,1
50,50,38.30963232,17.44602695,-5.836930447,-0.323105468,0,23.64831033,14.59576179,1.138315484,1
51,51,68.19672644,0.849059992,8.435020591,-4.959457346,0,12.12438765,-0.576982707,38.17889374,1
52,52,68.64988925,40.28551136,6.666575922,2.866607038,0,1.521454501,19.40275516,26.42534121,1
53,53,36.69431905,47.87550977,3.527013129,-1.922137293,0,22.01874959,3.929693582,18.35728655,0
54,54,27.28462313,27.32042863,4.36817179,-9.478059839,0,17.01084485,4.7124703,10.82278055,0
55,55,43.81890475,38.80872416,3.300355542,0.723989195,0,1.42775274,9.81040293,18.0248496,0
56,56,55.19464241,32.76194041,-7.214256865,-0.023791518,0,10.70771966,19.85608406,33.96719987,0
57,57,31.37092247,40.54854504,9.643291496,4.907244769,0,24.38544611,3.169163315,7.064933346,0
58,58,36.80146464,11.76044056,-0.637062881,0.379941332,0,2.820968599,-4.147834594,16.24627066,0
59,59,54.64609776,15.03818862,6.275299368,-4.028311846,0,5.513389962,-2.391246527,23.29909769,1
60,60,70.00619108,48.36827788,-1.103070825,-0.238574653,0,1.77335054,5.808918421,41.29941615,1
61,61,49.75663636,17.1616551,0.361696696,-5.383238226,0,19.65399988,-2.260968469,30.0202034,1
62,62,32.67706393,28.59732403,1.322905007,1.760000464,0,9.284340235,-2.281438264,18.63871227,0
63,63,66.04424969,1.551424642,0.512627084,-9.614995344,1,9.062231804,14.68574726,35.18345868,1
64,64,51.65069327,41.35303303,-9.100541975,-1.024531664,0,19.44483772,11.90822897,25.85543716,0
65,65,48.55973972,20.59316976,-4.32367953,1.812444062,0,9.240516316,9.51276252,18.98139696,1
66,66,28.01957548,37.84388573,-6.125469529,-0.947230149,0,8.190923033,14.50523698,-1.215288953,0
67,67,53.29125796,18.32382982,-3.349447395,-2.930960778,0,5.966114602,2.971407165,36.14234665,1
68,68,56.24089066,24.16519513,-8.435478234,-6.275342645,0,8.442052372,8.290111034,34.02011619,0
69,69,54.18814756,6.822563359,4.266555645,-4.275343104,0,5.279015744,-2.469524457,26.84718373,1
70,70,51.51542277,2.582109056,-8.472357164,1.47771142,0,16.46798754,18.14267806,17.77726396,0
71,71,43.29541856,35.74580865,0.035486436,-6.685774622,0,11.68494601,-1.039265982,23.39548799,1
72,72,45.85744552,5.56379573,-1.2893169,-6.767186433,0,4.092578159,5.041973664,25.55501877,0
73,73,34.17837784,11.25584244,1.762366951,3.189701115,0,4.393080343,-3.56555619,13.1300568,1
74,74,35.88757448,35.94719486,3.301356891,-0.895937234,0,4.797598813,12.36693297,16.1125729,0
75,75,32.97481561,11.53017116,4.540256658,2.772831573,0,11.09338889,4.569186531,13.84977426,0
76,76,43.15653916,6.298978324,-5.364567218,6.110492188,0,9.082061605,0.324553791,12.47787015,1
77,77,35.41864324,21.80591947,7.888975465,2.394665877,0,6.330258347,-4.060891039,16.6403422,0
78,78,32.51181073,26.24943074,9.874692485,1.599756312,0,11.55620498,3.556727844,7.447768148,0
79,79,29.82231803,40.90561032,1.850357791,2.485018728,0,9.629517735,-3.904698621,11.10703341,0
80,80,57.20532229,48.9361236,-4.187938059,1.6710353,0,0.718261779,7.264339882,21.86276336,1
81,81,38.86059983,5.179756973,4.419918666,-0.003934723,0,5.489168986,2.949166157,13.52409411,0
82,82,59.88785166,31.29201158,3.489482906,2.28995184,0,17.31352221,3.359649364,34.50131483,0
83,83,46.61767289,10.72840573,3.869169815,-5.799420405,0,5.871087592,2.280764106,15.23207189,1
84,84,41.74342642,18.93959437,1.125040129,2.174811047,0,22.35117818,1.682460569,19.04397235,0
85,85,33.50354832,16.48810043,-5.642132298,-1.085885542,0,17.82313933,12.34548778,3.858240908,1
86,86,50.13572269,27.79234955,5.562600498,1.181492623,0,4.746343894,7.976846774,26.84277272,0
87,87,44.83313,32.34913772,-5.311138281,4.009401864,0,13.76869315,2.747131441,16.68263184,0
88,88,48.30139454,16.32127227,-0.24091701,4.868060191,0,19.72708781,16.50827625,21.0743986,0
89,89,59.57548901,18.57362636,-2.57500391,-3.473201455,0,15.03763761,18.7181132,22.01587105,1
90,90,17.2882332,34.4817283,2.42904373,-6.032788096,0,10.56517815,-4.548177607,12.32577598,0
91,91,61.63231537,24.53112544,2.643512045,0.508054946,1,23.09389909,12.20501167,25.11031499,1
92,92,46.14614732,45.02542617,3.261308279,3.593894184,0,24.64672693,17.23757495,25.93581201,0
93,93,44.54445988,40.84420596,9.787254995,-4.574435937,0,21.12131438,14.78872223,14.23903646,0
94,94,26.97589162,1.350296917,8.491266849,-0.395455221,0,18.6799594,-2.392911516,13.52050361,0
95,95,54.67929467,46.08678916,2.066689231,6.345056042,0,13.62217658,11.27513348,22.76425703,0
96,96,63.34480794,36.17239901,-2.57979596,-4.92470748,0,7.636162237,18.05267286,25.95107185,1
97,97,26.9263109,39.2171309,-9.631044213,2.541670427,0,21.54314197,-1.7834685,13.19913182,0
98,98,26.66605047,40.76116235,-6.264488008,-0.743001669,1,5.93602889,12.00172824,5.351056941,0
99,99,51.64301547,38.80069138,2.231572722,7.457648055,0,22.67288303,4.032085165,22.83235406,1
100,100,56.02671662,28.64710197,9.857037077,3.255645036,0,22.33333754,19.97221851,25.75481604,1
