Mi,Ma,Ga
0,0,35
8,0,35
9,9,35
41,47,36
10,23,36
13,13,36
17,6,36
0,6,36
9,8,36
12,7,36
52,39,37
14,4,37
16,10,37
10,21,37
7,0,37
4,5,37
9,12,37
47,54,38
15,15,38
6,13,38
3,5,38
0,2,38
5,1,38
9,12,38
31,44,39
10,12,39
13,16,39
2,8,39
0,0,39
17,5,39
12,9,39
59,58,40
18,12,40
13,13,40
8,4,40
0,5,40
5,0,40
9,6,40
52,51,41
8,21,41
19,10,41
3,0,41
3,0,41
4,0,41
6,15,41
53,30,42
13,15,42
16,16,42
5,14,42
2,0,42
6,0,42
12,7,42
52,46,43
9,18,43
16,13,43
12,8,43
1,0,43
2,1,43
9,12,43
38,40,44
12,7,44
16,13,44
21,20,44
1,0,44
4,4,44
12,9,44
50,40,45
7,6,45
16,13,45
13,6,45
1,0,45
0,10,45
9,10,45
45,53,46
11,12,46
10,16,46
13,22,46
3,0,46
5,4,46
10,9,46
,,47
,,47
,,47
,,47
,,47
,,47
,,47
,,47
,,48
,,48
,,48
,,48
,,48
,,48
,,48
,,49
,,49
,,49
,,49
,,49
,,49
,,49
,,50
,,50
,,50
,,50
,,50
,,50
,,50
,,51
,,51
,,51
,,51
,,51
,,51
,,51
,,52
,,52
,,52
,,52
,,52
,,52
,,52
,,53
,,53
,,53
,,53
,,53
,,53
,,53
,,54
,,54
,,54
,,54
,,54
,,54
,,54
,,55
,,55
,,55
,,55
,,55
,,55
,,55
,,56
,,56
,,56
,,56
,,56
,,56
,,56
,,57
,,57
,,57
,,57
,,57
,,57
,,57
,,58
,,58
,,58
,,58
,,58
,,58
,,58
,,59
,,59
,,59
,,59
,,59
,,59
,,59
,,60
,,60
,,60
,,60
,,60
,,60
,,60
,,61
,,61
,,61
,,61
,,61
,,61
,,61
,,62
,,62
,,62
,,62
,,62
,,62
,,62
,,63
,,63
,,63
,,63
,,63
,,63
,,63
,,64
,,64
,,64
,,64
,,64
,,64
,,64
,,65
,,65
,,65
,,65
,,65
,,65
,,65
,,66
,,66
,,66
,,66
,,66
,,66
,,66
,,67
,,67
,,67
,,67
,,67
,,67
,,67
,,68
,,68
,,68
,,68
,,68
,,68
,,68
,,69
,,69
,,69
,,69
,,69
,,69
,,69
,,70
,,70
,,70
,,70
,,70
,,70
,,70
,,71
,,71
,,71
,,71
,,71
,,71
,,71
,,72
,,72
,,72
,,72
,,72
,,72
,,72
,,73
,,73
,,73
,,73
,,73
,,73
,,73
,,74
,,74
,,74
,,74
,,74
,,74
,,74
,,75
,,75
,,75
,,75
,,75
,,75
,,75
,,76
,,76
,,76
,,76
,,76
,,76
,,76
,,77
,,77
,,77
,,77
,,77
,,77
,,77
,,78
,,78
,,78
,,78
,,78
,,78
,,78
,,79
,,79
,,79
,,79
,,79
,,79
,,79
,,80
,,80
,,80
,,80
,,80
,,80
,,80
